name,price,quantity,farmer,location,state
Jute,6608,535,Farmer_57,City_116,Tamil Nadu
Tomato,1935,523,Farmer_58,City_115,Chhattisgarh
Coffee,13163,110,Farmer_59,City_1,Gujarat
Soybean,4505,415,Farmer_60,City_23,Uttar Pradesh
Tomato,9225,692,Farmer_61,City_82,Nagaland
Coffee,13786,463,Farmer_62,City_46,Chhattisgarh
Barley,9943,552,Farmer_63,City_37,Odisha
Onion,8458,833,Farmer_64,City_100,Karnataka
Pulses,5341,599,Farmer_65,City_95,Kerala
Coffee,14472,764,Farmer_66,City_151,Chhattisgarh
Pulses,2499,329,Farmer_67,City_44,Meghalaya
Wheat,13667,313,Farmer_68,City_43,Tamil Nadu
Tea,12869,710,Farmer_69,City_69,Maharashtra
Onion,10376,644,Farmer_70,City_180,Gujarat
Soybean,14251,962,Farmer_71,City_186,Himachal Pradesh
Potato,2304,773,Farmer_72,City_186,Arunachal Pradesh
Maize,7220,603,Farmer_73,City_118,Haryana
Potato,5324,979,Farmer_74,City_66,Odisha
Maize,4240,466,Farmer_75,City_57,Uttarakhand
Mustard,10913,143,Farmer_76,City_8,Jharkhand
Pulses,4545,169,Farmer_77,City_19,Goa
Turmeric,4766,827,Farmer_78,City_1,Andhra Pradesh
Tomato,10070,771,Farmer_79,City_5,Madhya Pradesh
Chilli,14186,722,Farmer_80,City_194,Haryana
Turmeric,6762,986,Farmer_81,City_113,Arunachal Pradesh
Rice,4939,461,Farmer_82,City_126,Meghalaya
Chilli,13472,619,Farmer_83,City_66,West Bengal
Pulses,5793,752,Farmer_84,City_154,West Bengal
Jute,9147,731,Farmer_85,City_171,West Bengal
Tea,10691,248,Farmer_86,City_160,Maharashtra
Chilli,9350,646,Farmer_87,City_9,Gujarat
Barley,13777,154,Farmer_88,City_80,West Bengal
Onion,11506,90,Farmer_89,City_89,Kerala
Sugarcane,9317,871,Farmer_90,City_28,Manipur
Turmeric,10818,424,Farmer_91,City_127,Kerala
Potato,8508,84,Farmer_92,City_29,Uttar Pradesh
Tea,7870,783,Farmer_93,City_196,Arunachal Pradesh
Soybean,2685,331,Farmer_94,City_32,Bihar
Pulses,3340,865,Farmer_95,City_41,Karnataka
Sugarcane,8914,470,Farmer_96,City_77,Tamil Nadu
Potato,6684,510,Farmer_97,City_150,Assam
Onion,13569,642,Farmer_98,City_170,Tamil Nadu
Rice,3928,709,Farmer_99,City_34,Nagaland
Maize,8073,789,Farmer_100,City_148,Rajasthan
Millets,3783,968,Farmer_101,City_187,Madhya Pradesh
Potato,2762,611,Farmer_102,City_65,Bihar
Turmeric,9554,684,Farmer_103,City_66,Uttar Pradesh
Cotton,9012,736,Farmer_104,City_127,Gujarat
Jute,7493,120,Farmer_105,City_28,Jharkhand
Tomato,14435,251,Farmer_106,City_81,Nagaland
Turmeric,5992,471,Farmer_107,City_107,Jharkhand
Tomato,5333,797,Farmer_108,City_67,Tripura
Barley,7942,911,Farmer_109,City_193,Haryana
Mustard,3475,137,Farmer_110,City_178,Meghalaya
Soybean,14946,688,Farmer_111,City_39,Rajasthan
Banana,4231,526,Farmer_112,City_124,Maharashtra
Tea,12382,596,Farmer_113,City_2,Kerala
Maize,8929,654,Farmer_114,City_106,Karnataka
Maize,9217,421,Farmer_115,City_44,Manipur
Wheat,5942,826,Farmer_116,City_22,Tamil Nadu
Pulses,8452,673,Farmer_117,City_152,Telangana
Banana,8534,526,Farmer_118,City_98,Tamil Nadu
Pulses,12502,285,Farmer_119,City_49,Uttarakhand
Tea,3831,961,Farmer_120,City_146,Arunachal Pradesh
Cotton,13656,425,Farmer_121,City_106,Nagaland
Groundnut,5757,506,Farmer_122,City_167,Chhattisgarh
Banana,7843,849,Farmer_123,City_108,Uttar Pradesh
Sugarcane,2431,691,Farmer_124,City_164,Uttarakhand
Turmeric,6813,162,Farmer_125,City_91,Arunachal Pradesh
Sugarcane,7287,320,Farmer_126,City_94,Andhra Pradesh
Mustard,13828,341,Farmer_127,City_174,Sikkim
Groundnut,6535,618,Farmer_128,City_199,Telangana
Tomato,14315,853,Farmer_129,City_35,Arunachal Pradesh
Maize,13508,163,Farmer_130,City_35,Arunachal Pradesh
Potato,8685,839,Farmer_131,City_62,Sikkim
Wheat,7871,857,Farmer_132,City_60,Madhya Pradesh
Tea,13782,963,Farmer_133,City_157,Rajasthan
Millets,12994,409,Farmer_134,City_132,Tamil Nadu
Cotton,5993,129,Farmer_135,City_46,Punjab
Sugarcane,4741,522,Farmer_136,City_166,Rajasthan
Soybean,14233,998,Farmer_137,City_7,Sikkim
Tea,5819,340,Farmer_138,City_81,West Bengal
Cotton,2935,848,Farmer_139,City_151,Telangana
Jute,8316,288,Farmer_140,City_69,Kerala
Wheat,6735,463,Farmer_141,City_156,Himachal Pradesh
Tea,5497,828,Farmer_142,City_186,Nagaland
Tea,3238,338,Farmer_143,City_36,Bihar
Onion,6375,181,Farmer_144,City_98,Haryana
Mustard,6474,791,Farmer_145,City_70,Bihar
Wheat,8612,699,Farmer_146,City_123,Andhra Pradesh
Tomato,10793,300,Farmer_147,City_24,Karnataka
Coffee,1876,696,Farmer_148,City_29,Maharashtra
Maize,9049,851,Farmer_149,City_44,Bihar
Cotton,5226,51,Farmer_150,City_127,Goa
Millets,9354,706,Farmer_151,City_136,Manipur
Chilli,12891,765,Farmer_152,City_137,Uttarakhand
Groundnut,3461,850,Farmer_153,City_16,Tamil Nadu
Wheat,6011,407,Farmer_154,City_84,Jharkhand
Mustard,2008,410,Farmer_155,City_37,Mizoram
Maize,5012,893,Farmer_156,City_158,Uttarakhand
Sugarcane,2986,518,Farmer_157,City_87,Gujarat
Pulses,4516,595,Farmer_158,City_123,Kerala
Jute,1566,112,Farmer_159,City_164,Rajasthan
Tea,11117,799,Farmer_160,City_146,Punjab
Potato,10110,136,Farmer_161,City_180,Karnataka
Chilli,5727,464,Farmer_162,City_78,Himachal Pradesh
Sugarcane,11117,971,Farmer_163,City_178,West Bengal
Coffee,10739,786,Farmer_164,City_184,Tripura
Mustard,6255,479,Farmer_165,City_97,Kerala
Tea,9345,445,Farmer_166,City_120,Chhattisgarh
Jute,2438,580,Farmer_167,City_159,Karnataka
Tomato,14348,446,Farmer_168,City_128,West Bengal
Sugarcane,11705,778,Farmer_169,City_33,Bihar
Maize,13648,460,Farmer_170,City_72,Rajasthan
Wheat,12937,471,Farmer_171,City_58,Tripura
Onion,11767,223,Farmer_172,City_118,Arunachal Pradesh
Tomato,8858,225,Farmer_173,City_145,West Bengal
Chilli,4573,828,Farmer_174,City_120,Jharkhand
Cotton,2656,746,Farmer_175,City_148,Uttar Pradesh
Soybean,2778,984,Farmer_176,City_70,Gujarat
Mustard,3886,222,Farmer_177,City_28,Maharashtra
Potato,4809,895,Farmer_178,City_148,Chhattisgarh
Chilli,13052,813,Farmer_179,City_20,Tamil Nadu
Cotton,10196,859,Farmer_180,City_60,Maharashtra
Maize,7925,381,Farmer_181,City_172,Kerala
Potato,13278,187,Farmer_182,City_196,Uttarakhand
Banana,5097,378,Farmer_183,City_62,Maharashtra
Coffee,3136,189,Farmer_184,City_188,West Bengal
Potato,8686,163,Farmer_185,City_51,Uttar Pradesh
Pulses,12616,757,Farmer_186,City_73,Himachal Pradesh
Coffee,3418,642,Farmer_187,City_88,Madhya Pradesh
Maize,8462,498,Farmer_188,City_98,Andhra Pradesh
Barley,6682,491,Farmer_189,City_148,Sikkim
Tomato,10289,498,Farmer_190,City_146,Bihar
Rice,1674,510,Farmer_191,City_164,Bihar
Tomato,6694,546,Farmer_192,City_200,Telangana
Groundnut,6355,425,Farmer_193,City_59,Punjab
Chilli,7976,732,Farmer_194,City_114,Chhattisgarh
Onion,2213,981,Farmer_195,City_148,Tripura
Onion,10241,650,Farmer_196,City_103,Assam
Sugarcane,8100,468,Farmer_197,City_109,Madhya Pradesh
Coffee,1850,691,Farmer_198,City_58,Telangana
Groundnut,3398,66,Farmer_199,City_110,Bihar
Tomato,1788,166,Farmer_200,City_126,Sikkim
Cotton,11632,225,Farmer_201,City_90,Tripura
Jute,6145,705,Farmer_202,City_44,Nagaland
Maize,3104,900,Farmer_203,City_135,Telangana
Jute,4305,302,Farmer_204,City_69,Sikkim
Tomato,13799,788,Farmer_205,City_40,Nagaland
Sugarcane,3585,498,Farmer_206,City_142,Tamil Nadu
Groundnut,14029,227,Farmer_207,City_69,Bihar
Soybean,7113,610,Farmer_208,City_94,Goa
Wheat,14375,896,Farmer_209,City_179,Nagaland
Chilli,6030,908,Farmer_210,City_157,Himachal Pradesh
Jute,4766,310,Farmer_211,City_49,Arunachal Pradesh
Banana,6260,954,Farmer_212,City_121,Uttarakhand
Onion,6045,446,Farmer_213,City_180,Meghalaya
Tomato,8825,120,Farmer_214,City_142,Odisha
Soybean,10394,628,Farmer_215,City_60,Assam
Coffee,6609,886,Farmer_216,City_110,Tripura
Pulses,11513,896,Farmer_217,City_168,West Bengal
Coffee,6427,450,Farmer_218,City_108,Mizoram
Chilli,10458,532,Farmer_219,City_38,West Bengal
Jute,2946,405,Farmer_220,City_183,Himachal Pradesh
Groundnut,7684,929,Farmer_221,City_45,Haryana
Rice,4140,248,Farmer_222,City_125,Telangana
Potato,12260,633,Farmer_223,City_8,Meghalaya
Coffee,6764,550,Farmer_224,City_21,Punjab
Potato,8532,183,Farmer_225,City_186,Tamil Nadu
Jute,12076,106,Farmer_226,City_31,Odisha
Coffee,5700,92,Farmer_227,City_146,Goa
Barley,13296,435,Farmer_228,City_155,Chhattisgarh
Cotton,3398,140,Farmer_229,City_128,Meghalaya
Coffee,10276,79,Farmer_230,City_178,Telangana
Tea,1849,71,Farmer_231,City_118,Sikkim
Soybean,10585,871,Farmer_232,City_143,Assam
Maize,2477,330,Farmer_233,City_82,Odisha
Pulses,5975,634,Farmer_234,City_139,Telangana
Banana,10623,880,Farmer_235,City_134,Himachal Pradesh
Sugarcane,4336,523,Farmer_236,City_30,West Bengal
Tomato,8498,715,Farmer_237,City_110,Rajasthan
Potato,3319,942,Farmer_238,City_191,Meghalaya
Wheat,10683,471,Farmer_239,City_47,Mizoram
Potato,10069,85,Farmer_240,City_99,Nagaland
Soybean,4078,781,Farmer_241,City_30,Manipur
Rice,5015,604,Farmer_242,City_191,Telangana
Jute,7021,283,Farmer_243,City_144,Nagaland
Barley,12834,848,Farmer_244,City_165,Rajasthan
Jute,12902,389,Farmer_245,City_196,Uttarakhand
Turmeric,3101,664,Farmer_246,City_17,West Bengal
Mustard,5882,567,Farmer_247,City_93,Haryana
Turmeric,12221,442,Farmer_248,City_105,Goa
Rice,11472,175,Farmer_249,City_165,Goa
Cotton,13687,620,Farmer_250,City_23,Uttar Pradesh
Wheat,6004,665,Farmer_251,City_196,Karnataka
Tea,6026,330,Farmer_252,City_45,Uttarakhand
Tomato,12029,774,Farmer_253,City_195,Punjab
Cotton,14713,193,Farmer_254,City_182,Odisha
Rice,9709,431,Farmer_255,City_77,Andhra Pradesh
Jute,2530,165,Farmer_256,City_132,Chhattisgarh
Rice,7719,807,Farmer_257,City_174,Mizoram
Wheat,14604,684,Farmer_258,City_166,Karnataka
Soybean,6679,780,Farmer_259,City_112,Himachal Pradesh
Potato,9058,870,Farmer_260,City_163,Jharkhand
Cotton,9050,596,Farmer_261,City_125,Madhya Pradesh
Pulses,10607,422,Farmer_262,City_73,Assam
Potato,1833,520,Farmer_263,City_122,Himachal Pradesh
Soybean,14170,188,Farmer_264,City_1,Punjab
Tea,11835,848,Farmer_265,City_162,Uttar Pradesh
Maize,13911,364,Farmer_266,City_177,Jharkhand
Soybean,4640,736,Farmer_267,City_189,Odisha
Mustard,11896,227,Farmer_268,City_195,Arunachal Pradesh
Groundnut,11690,211,Farmer_269,City_23,Uttar Pradesh
Turmeric,3071,972,Farmer_270,City_127,Bihar
Rice,14529,152,Farmer_271,City_25,Assam
Rice,12206,401,Farmer_272,City_24,Manipur
Barley,4693,982,Farmer_273,City_71,Punjab
Pulses,3013,332,Farmer_274,City_185,Rajasthan
Soybean,3203,362,Farmer_275,City_142,Andhra Pradesh
Jute,13204,885,Farmer_276,City_127,Rajasthan
Turmeric,8821,554,Farmer_277,City_64,Arunachal Pradesh
Groundnut,12305,767,Farmer_278,City_98,Manipur
Onion,10239,937,Farmer_279,City_160,Odisha
Onion,11826,780,Farmer_280,City_62,Manipur
Maize,9395,915,Farmer_281,City_6,Himachal Pradesh
Mustard,14515,571,Farmer_282,City_140,Maharashtra
Tomato,5516,181,Farmer_283,City_71,Uttarakhand
Pulses,14158,708,Farmer_284,City_159,Kerala
Jute,6428,579,Farmer_285,City_54,Karnataka
Tomato,8035,513,Farmer_286,City_4,Mizoram
Sugarcane,13041,262,Farmer_287,City_19,Gujarat
Wheat,6693,782,Farmer_288,City_129,Chhattisgarh
Millets,9641,709,Farmer_289,City_149,Tripura
Pulses,2153,968,Farmer_290,City_117,Uttar Pradesh
Tea,5537,544,Farmer_291,City_27,Karnataka
Coffee,6667,191,Farmer_292,City_59,Tamil Nadu
Tea,13611,971,Farmer_293,City_160,Odisha
Millets,5710,572,Farmer_294,City_134,Rajasthan
Potato,7810,407,Farmer_295,City_107,Himachal Pradesh
Banana,13133,593,Farmer_296,City_65,Sikkim
Millets,2209,883,Farmer_297,City_35,West Bengal
Potato,11647,239,Farmer_298,City_88,Haryana
Mustard,9833,169,Farmer_299,City_94,Jharkhand
Banana,4279,229,Farmer_300,City_80,Maharashtra
Banana,2175,90,Farmer_301,City_152,Himachal Pradesh
Mustard,6636,563,Farmer_302,City_8,Maharashtra
Turmeric,1843,82,Farmer_303,City_171,Maharashtra
Pulses,2285,546,Farmer_304,City_147,Bihar
Banana,4794,984,Farmer_305,City_40,Meghalaya
Cotton,1745,683,Farmer_306,City_75,Maharashtra
Chilli,10350,784,Farmer_307,City_111,Jharkhand
Turmeric,9347,771,Farmer_308,City_163,Karnataka
Coffee,8475,504,Farmer_309,City_158,Jharkhand
Sugarcane,13193,696,Farmer_310,City_89,Himachal Pradesh
Coffee,4617,225,Farmer_311,City_163,Karnataka
Wheat,6963,134,Farmer_312,City_168,Punjab
Rice,8165,654,Farmer_313,City_142,Tamil Nadu
Groundnut,9774,971,Farmer_314,City_37,Uttarakhand
Tomato,3707,154,Farmer_315,City_62,Tripura
Barley,10549,84,Farmer_316,City_58,Manipur
Coffee,9690,710,Farmer_317,City_19,Andhra Pradesh
Tea,2891,889,Farmer_318,City_138,Punjab
Mustard,2046,539,Farmer_319,City_110,Andhra Pradesh
Pulses,4253,87,Farmer_320,City_145,Gujarat
Turmeric,14971,720,Farmer_321,City_145,Gujarat
Soybean,7495,75,Farmer_322,City_142,West Bengal
Jute,8492,396,Farmer_323,City_19,Tamil Nadu
Maize,1629,965,Farmer_324,City_123,Meghalaya
Soybean,14613,196,Farmer_325,City_126,Arunachal Pradesh
Jute,4036,463,Farmer_326,City_164,Uttar Pradesh
Millets,7957,512,Farmer_327,City_193,Mizoram
Tea,13320,726,Farmer_328,City_60,Rajasthan
Potato,3236,985,Farmer_329,City_173,Uttarakhand
Pulses,4606,587,Farmer_330,City_16,Arunachal Pradesh
Soybean,7496,990,Farmer_331,City_34,Manipur
Rice,14175,713,Farmer_332,City_59,West Bengal
Cotton,12888,436,Farmer_333,City_159,Gujarat
Maize,9376,657,Farmer_334,City_67,Meghalaya
Rice,14778,509,Farmer_335,City_92,Kerala
Sugarcane,10298,374,Farmer_336,City_141,Uttarakhand
Millets,1789,789,Farmer_337,City_4,Maharashtra
Tomato,4678,993,Farmer_338,City_166,Tripura
Jute,5477,297,Farmer_339,City_184,Rajasthan
Wheat,13149,681,Farmer_340,City_181,Rajasthan
Millets,2327,92,Farmer_341,City_86,Kerala
Coffee,10880,975,Farmer_342,City_196,Uttar Pradesh
Barley,3783,577,Farmer_343,City_136,Chhattisgarh
Coffee,12994,935,Farmer_344,City_38,Bihar
Tea,4106,381,Farmer_345,City_127,Tamil Nadu
Soybean,2023,593,Farmer_346,City_120,Haryana
Potato,9920,146,Farmer_347,City_178,Uttar Pradesh
Banana,4230,658,Farmer_348,City_100,Sikkim
Jute,6629,759,Farmer_349,City_163,Sikkim
Pulses,5549,65,Farmer_350,City_23,Mizoram
Wheat,4437,258,Farmer_351,City_198,Gujarat
Mustard,12995,199,Farmer_352,City_114,Tripura
Banana,6694,461,Farmer_353,City_107,Chhattisgarh
Tomato,5026,351,Farmer_354,City_37,Goa
Banana,14674,833,Farmer_355,City_113,Telangana
Soybean,4448,268,Farmer_356,City_154,Tamil Nadu
Coffee,10822,755,Farmer_357,City_152,Telangana
Cotton,14971,892,Farmer_358,City_124,Uttar Pradesh
Coffee,4089,178,Farmer_359,City_58,Mizoram
Banana,11979,508,Farmer_360,City_130,Gujarat
Rice,8652,408,Farmer_361,City_33,Odisha
Tea,7065,235,Farmer_362,City_38,Uttarakhand
Banana,2893,227,Farmer_363,City_90,Goa
Chilli,2706,897,Farmer_364,City_62,Goa
Tea,12166,544,Farmer_365,City_123,Mizoram
Coffee,13404,940,Farmer_366,City_34,Maharashtra
Pulses,10418,403,Farmer_367,City_62,Karnataka
Soybean,14213,447,Farmer_368,City_96,Tripura
Barley,11585,319,Farmer_369,City_171,West Bengal
Tomato,5091,499,Farmer_370,City_76,Kerala
Chilli,8101,638,Farmer_371,City_104,Gujarat
Sugarcane,13385,565,Farmer_372,City_156,Tamil Nadu
Sugarcane,8077,361,Farmer_373,City_89,Tamil Nadu
Sugarcane,10930,172,Farmer_374,City_172,Odisha
Soybean,1646,678,Farmer_375,City_195,Karnataka
Banana,6742,506,Farmer_376,City_122,Kerala
Tomato,12700,902,Farmer_377,City_66,Tamil Nadu
Turmeric,13089,450,Farmer_378,City_191,Chhattisgarh
Cotton,10014,241,Farmer_379,City_200,Uttar Pradesh
Sugarcane,8152,208,Farmer_380,City_4,Odisha
Pulses,6882,958,Farmer_381,City_200,Sikkim
Barley,6935,829,Farmer_382,City_40,Telangana
Cotton,1693,668,Farmer_383,City_4,Maharashtra
Maize,10029,997,Farmer_384,City_104,Odisha
Soybean,12841,664,Farmer_385,City_69,Haryana
Maize,10574,223,Farmer_386,City_8,Kerala
Wheat,5797,663,Farmer_387,City_166,Chhattisgarh
Banana,9238,526,Farmer_388,City_110,Nagaland
Millets,11406,473,Farmer_389,City_2,Meghalaya
Tea,13865,512,Farmer_390,City_13,Kerala
Maize,13734,730,Farmer_391,City_28,Gujarat
Jute,9551,659,Farmer_392,City_140,Sikkim
Sugarcane,4272,742,Farmer_393,City_80,Kerala
Mustard,9531,439,Farmer_394,City_133,Meghalaya
Wheat,6035,276,Farmer_395,City_133,Chhattisgarh
Coffee,8682,242,Farmer_396,City_156,Haryana
Pulses,12949,144,Farmer_397,City_173,Gujarat
Groundnut,3066,932,Farmer_398,City_32,Telangana
Chilli,3563,549,Farmer_399,City_175,Nagaland
Tea,11934,355,Farmer_400,City_168,Nagaland
Cotton,2619,248,Farmer_401,City_120,Uttar Pradesh
Banana,5225,198,Farmer_402,City_78,Uttarakhand
Sugarcane,3540,911,Farmer_403,City_115,Mizoram
Groundnut,1837,907,Farmer_404,City_33,Rajasthan
Cotton,7975,402,Farmer_405,City_7,Karnataka
Soybean,2851,719,Farmer_406,City_96,Rajasthan
Onion,10502,947,Farmer_407,City_82,Bihar
Cotton,9273,943,Farmer_408,City_126,Telangana
Tomato,12969,739,Farmer_409,City_111,Andhra Pradesh
Turmeric,13025,303,Farmer_410,City_61,Sikkim
Jute,4192,717,Farmer_411,City_199,Tripura
Banana,5409,767,Farmer_412,City_192,West Bengal
Soybean,14930,748,Farmer_413,City_124,Maharashtra
Cotton,11851,194,Farmer_414,City_149,West Bengal
Coffee,4071,133,Farmer_415,City_12,Haryana
Onion,13472,54,Farmer_416,City_176,Uttarakhand
Tea,10495,146,Farmer_417,City_1,Bihar
Sugarcane,7821,312,Farmer_418,City_74,Haryana
Rice,2796,821,Farmer_419,City_97,Meghalaya
Coffee,5582,233,Farmer_420,City_28,Haryana
Groundnut,10528,817,Farmer_421,City_109,Manipur
Pulses,9910,513,Farmer_422,City_113,Rajasthan
Chilli,4613,643,Farmer_423,City_88,Tamil Nadu
Barley,7353,934,Farmer_424,City_133,Bihar
Maize,7506,193,Farmer_425,City_9,Manipur
Rice,7021,871,Farmer_426,City_131,West Bengal
Rice,5072,215,Farmer_427,City_139,Jharkhand
Barley,4031,662,Farmer_428,City_27,Karnataka
Wheat,3501,866,Farmer_429,City_123,Jharkhand
Mustard,5116,947,Farmer_430,City_29,Goa
Millets,3303,283,Farmer_431,City_40,Kerala
Tomato,3810,317,Farmer_432,City_172,Tripura
Banana,9357,796,Farmer_433,City_135,Manipur
Groundnut,13983,167,Farmer_434,City_129,Odisha
Turmeric,9336,553,Farmer_435,City_1,Tamil Nadu
Cotton,10231,542,Farmer_436,City_96,Tamil Nadu
Maize,9386,880,Farmer_437,City_187,Haryana
Turmeric,6911,127,Farmer_438,City_80,Telangana
Chilli,2856,640,Farmer_439,City_23,Punjab
Onion,4270,849,Farmer_440,City_12,Bihar
Coffee,13424,240,Farmer_441,City_90,Uttar Pradesh
Chilli,9441,961,Farmer_442,City_137,Tripura
Cotton,7368,868,Farmer_443,City_199,Sikkim
Rice,6948,385,Farmer_444,City_158,Tamil Nadu
Potato,5173,187,Farmer_445,City_179,Haryana
Rice,12701,297,Farmer_446,City_186,Chhattisgarh
Sugarcane,3271,63,Farmer_447,City_117,Assam
Banana,12475,540,Farmer_448,City_23,Himachal Pradesh
Turmeric,7335,725,Farmer_449,City_120,Manipur
Chilli,10225,712,Farmer_450,City_51,Uttarakhand
Wheat,6314,809,Farmer_451,City_154,Haryana
Turmeric,8495,57,Farmer_452,City_167,Karnataka
Soybean,7026,67,Farmer_453,City_165,Telangana
Maize,6647,276,Farmer_454,City_149,Chhattisgarh
Tea,5990,245,Farmer_455,City_122,Goa
Barley,4143,185,Farmer_456,City_198,Odisha
Groundnut,12494,243,Farmer_457,City_27,Gujarat
Banana,7071,663,Farmer_458,City_35,Maharashtra
Tea,9545,228,Farmer_459,City_94,Arunachal Pradesh
Coffee,8194,955,Farmer_460,City_13,Mizoram
Chilli,11395,849,Farmer_461,City_154,Chhattisgarh
Mustard,9280,184,Farmer_462,City_79,Assam
Wheat,8354,619,Farmer_463,City_95,Punjab
Banana,6979,324,Farmer_464,City_118,Arunachal Pradesh
Soybean,11097,862,Farmer_465,City_156,Bihar
Wheat,9149,471,Farmer_466,City_104,Jharkhand
Wheat,10247,476,Farmer_467,City_43,Punjab
Banana,14539,185,Farmer_468,City_63,Goa
Sugarcane,8279,308,Farmer_469,City_110,Chhattisgarh
Coffee,7660,780,Farmer_470,City_63,Karnataka
Wheat,13811,160,Farmer_471,City_191,Haryana
Turmeric,13720,263,Farmer_472,City_159,Odisha
Sugarcane,2987,641,Farmer_473,City_34,Mizoram
Cotton,11830,681,Farmer_474,City_108,Goa
Onion,14164,668,Farmer_475,City_10,Sikkim
Turmeric,9165,112,Farmer_476,City_21,Nagaland
Turmeric,13665,368,Farmer_477,City_37,Odisha
Soybean,3241,741,Farmer_478,City_148,Arunachal Pradesh
Groundnut,13902,266,Farmer_479,City_113,Bihar
Chilli,12824,573,Farmer_480,City_152,Meghalaya
Cotton,11755,710,Farmer_481,City_18,Madhya Pradesh
Maize,3261,659,Farmer_482,City_89,Assam
Coffee,5478,674,Farmer_483,City_119,Himachal Pradesh
Millets,10751,535,Farmer_484,City_195,Arunachal Pradesh
Tomato,5302,756,Farmer_485,City_95,West Bengal
Potato,12765,492,Farmer_486,City_96,Assam
Mustard,9098,584,Farmer_487,City_147,Uttarakhand
Tea,7636,790,Farmer_488,City_45,Gujarat
Wheat,14122,281,Farmer_489,City_69,Rajasthan
Sugarcane,4513,187,Farmer_490,City_116,Jharkhand
Mustard,9602,78,Farmer_491,City_127,Uttarakhand
Tea,5443,588,Farmer_492,City_146,Goa
Coffee,5562,285,Farmer_493,City_157,Uttar Pradesh
Jute,13330,501,Farmer_494,City_47,Himachal Pradesh
Wheat,4607,488,Farmer_495,City_175,West Bengal
Tea,11786,734,Farmer_496,City_60,Jharkhand
Tomato,8660,629,Farmer_497,City_90,Meghalaya
Groundnut,12602,855,Farmer_498,City_96,Uttarakhand
Onion,13364,412,Farmer_499,City_132,Kerala
Potato,14870,639,Farmer_500,City_73,Telangana
Jute,10444,653,Farmer_501,City_79,Karnataka
Coffee,12479,935,Farmer_502,City_193,Rajasthan
Millets,3550,308,Farmer_503,City_80,Haryana
Mustard,7299,867,Farmer_504,City_196,Rajasthan
Wheat,4025,77,Farmer_505,City_146,Punjab
Soybean,9075,484,Farmer_506,City_168,Tripura
Mustard,12204,559,Farmer_507,City_189,Maharashtra
